property,version,truth,footnote-md
deposit-contract-balance,v1,1,
deposit-contract-balance,v2,1,
deposit-user-balance,v1,1,
deposit-user-balance,v2,1,
user-balance-inc-onlyif-deposit,v1,1,
user-balance-inc-onlyif-deposit,v2,1,
user-balance-dec-onlyif-withdraw,v1,1,
user-balance-dec-onlyif-withdraw,v2,1,
withdraw-contract-balance,v1,0,"A reentrancy attack is possible if the recipient address is an untrusted contract."
withdraw-contract-balance,v2,0,
withdraw-user-balance,v1,0,"A reentrancy attack is possible if the recipient address is an untrusted contract."
withdraw-user-balance,v2,0,
deposit-not-revert,v1,1,
deposit-not-revert,v2,1,
deposit-revert,v1,1,
deposit-revert,v2,1,
withdraw-not-revert,v1,0,"A reentrancy attack is possible if the recipient address is an untrusted contract."
withdraw-not-revert,v2,0,
withdraw-revert,v1,1,
withdraw-revert,v2,0,
