property,version,truth,footnote-md
rel-le-init-bal,v1,0,"This property should always be false, since a contract can receive ETH when its address is specified in a coinbase transaction or in a `self-destruct`".
rel-le-init-bal,v2,0,
rel-le-init-bal,v3,0,
rel-le-init-bal,v4,0,
rel-le-init-bal,v5,0,
wd-contract-bal,v1,0,"A reentrant call to `withdraw` can remove more ETH than that specified in `amount`."
wd-contract-bal,v2,1,
wd-contract-bal,v3,1,
wd-contract-bal,v4,0,
wd-contract-bal,v5,1,
wd-sender-bal,v1,0,
wd-sender-bal,v2,1,
wd-sender-bal,v3,0,
wd-sender-bal,v4,0,
wd-sender-bal,v5,1,
wd-not-revert,v1,0,
wd-not-revert,v2,0,
wd-not-revert,v3,1,
wd-not-revert,v4,0,
wd-not-revert,v5,0,
always-depletable,v1,1,
always-depletable,v2,1,
always-depletable,v3,0,
always-depletable,v4,0,
always-depletable,v5,0,
