property,version,truth,footnote-md
rel-le-init-bal,v1,0,
rel-le-init-bal,v2,0,
rel-le-init-bal,v3,0,
rel-le-init-bal,v4,0,
rel-le-init-bal,v5,0,
wd-contract-bal,v1,0,
wd-contract-bal,v2,1,
wd-contract-bal,v3,1,
wd-contract-bal,v4,0,
wd-contract-bal,v5,1,
wd-sender-bal,v1,0,
wd-sender-bal,v2,1,
wd-sender-bal,v3,0,
wd-sender-bal,v4,0,
wd-sender-bal,v5,1,
wd-not-revert,v1,0,
wd-not-revert,v2,0,
wd-not-revert,v3,1,
wd-not-revert,v4,0,
wd-not-revert,v5,0,
always-deplatable,v1,1,
always-deplatable,v2,1,
always-deplatable,v3,0,
always-deplatable,v4,0,
always-deplatable,v5,0,
