property,version,truth,footnote-md
total-supply-integrity,v1,0,""
validate-transfer-diff-o-s-r,v1,0,""
validate-transfer-same-o-s-r,v1,0,""
validate-transfer-same-s-r,v1,0,""
validate-transfer-same-o-s,v1,0,""
validate-transfer-same-o-r,v1,0,""
user-cannot-exclude-include-from-fee,v1,1,
owner-can-exclude-include-from-fee,v1,1,
ownership-cannot-change,v1,1,
owner-fee-after-transfer,v1,0,""
liquidity,v1,1,
total-supply-integrity,v2,1,
validate-transfer-diff-o-s-r,v2,1,
validate-transfer-same-o-s-r,v2,1,
validate-transfer-same-s-r,v2,1,
validate-transfer-same-o-s,v2,1,
validate-transfer-same-o-r,v2,1,
user-cannot-exclude-include-from-fee,v2,1,
owner-can-exclude-include-from-fee,v2,1,
ownership-cannot-change,v2,1,
owner-fee-after-transfer,v2,0,""
liquidity,v2,1,
total-supply-integrity,v3,1,
validate-transfer-diff-o-s-r,v3,1,
validate-transfer-same-o-s-r,v3,1,
validate-transfer-same-s-r,v3,1,
validate-transfer-same-o-s,v3,1,
validate-transfer-same-o-r,v3,1,
user-cannot-exclude-include-from-fee,v3,1,
owner-can-exclude-include-from-fee,v3,1,
ownership-cannot-change,v3,1,
owner-fee-after-transfer,v3,1,
liquidity,v3,1,
