property,version,truth,footnote-md
canc-revert,v1,1,
canc-revert,v2,1,
canc-revert,v3,1,
fin-canc-twice,v1,1,
fin-canc-twice,v2,1,
fin-canc-twice,v3,1,
okey-neq-rkey,v1,1,
okey-neq-rkey,v2,0,
okey-neq-rkey,v3,1,
okey-rkey-private-wd,v1,1,
okey-rkey-private-wd,v2,1,
okey-rkey-private-wd,v3,0,
rkey-no-wd,v1,1,
rkey-no-wd,v2,1,
rkey-no-wd,v3,0,
wd-fin-before,v1,1,
wd-fin-before,v2,1,
wd-fin-before,v3,1,
wd-fin-before-interleave,v1,1,
wd-fin-before-interleave,v2,1,
wd-fin-before-interleave,v3,0,
wd-fin-revert,v1,1,
wd-fin-revert,v2,1,
wd-fin-revert,v3,1,
wd-twice,v1,1,
wd-twice,v2,1,
wd-twice,v3,1,
