property,version,truth,footnote-md
dep-inc-snd-bal,v1,1,
dep-inc-snd-bal,v2,1,
dep-inc-snd-bal,v3,1,
dep-inc-snd-bal,v4,1,
dep-inc-snd-bal,v5,1,
dep-inc-snd-bal,v6,1,
dep-inc-snd-bal,v7,1,
wd-dec-snd-bal,v1,1,
wd-dec-snd-bal,v2,1,
wd-dec-snd-bal,v3,0,balance entry modified by one less than the withdrawn amount
wd-dec-snd-bal,v4,1,
wd-dec-snd-bal,v5,1,
wd-dec-snd-bal,v6,1,
wd-dec-snd-bal,v7,1,
dep-not-revert,v1,0,reverts if overflow
dep-not-revert,v2,0,
dep-not-revert,v3,0,
dep-not-revert,v4,0,
dep-not-revert,v5,0,
dep-not-revert,v6,0,
dep-not-revert,v7,1,
wd-not-revert,v1,1,
wd-not-revert,v2,1,
wd-not-revert,v3,1,
wd-not-revert,v4,1,
wd-not-revert,v5,1,
wd-not-revert,v6,0,will revert if inactive for 10 rounds
wd-not-revert,v7,0,will revert if 100 rounds have elapsed
bal-inc-onlyif-dep,v1,1,in all versions  parameters are uints
bal-inc-onlyif-dep,v2,1,
bal-inc-onlyif-dep,v3,1,
bal-inc-onlyif-dep,v4,1,
bal-inc-onlyif-dep,v5,1,
bal-inc-onlyif-dep,v6,1,
bal-inc-onlyif-dep,v7,1,
bal-dec-onlyif-wd,v1,1,in all versions parameters are uints
bal-dec-onlyif-wd,v2,1,
bal-dec-onlyif-wd,v3,1,
bal-dec-onlyif-wd,v4,1,
bal-dec-onlyif-wd,v5,1,
bal-dec-onlyif-wd,v6,1,
bal-dec-onlyif-wd,v7,1,
cbal-nonneg,v1,1,contract_balance is a uint
cbal-nonneg,v2,1,
cbal-nonneg,v3,1,
cbal-nonneg,v4,1,
cbal-nonneg,v5,1,
cbal-nonneg,v6,1,
cbal-nonneg,v7,1,
bal-nonneg,v1,1,balance is a map to uints
bal-nonneg,v2,1,
bal-nonneg,v3,1,
bal-nonneg,v4,1,
bal-nonneg,v5,1,
bal-nonneg,v6,1,
bal-nonneg,v7,1,
always-bal-to-max,v1,0,only if nobody else has deposited 
always-bal-to-max,v2,0,
always-bal-to-max,v3,0,
always-bal-to-max,v4,0,the owner cannot increase their balance
always-bal-to-max,v5,0,deposit bounded: requires multiple transactions
always-bal-to-max,v6,0,
always-bal-to-max,v7,0,
always-bal-inc,v1,0,balance may be at MAX_UINT
always-bal-inc,v2,0,
always-bal-inc,v3,0,
always-bal-inc,v4,0,
always-bal-inc,v5,0,
always-bal-inc,v6,0,
always-bal-inc,v7,0,
cbal-ge-bal,v1,1,requires inductive reasoning about the sum
cbal-ge-bal,v2,1,
cbal-ge-bal,v3,0,balance and contract_balance are modified incorrectly in withdraw
cbal-ge-bal,v4,1,
cbal-ge-bal,v5,1,
cbal-ge-bal,v6,1,
cbal-ge-bal,v7,1,
cbal-eq-sum-bal,v1,1,
cbal-eq-sum-bal,v2,1,
cbal-eq-sum-bal,v3,0,balance and contract_balance are modified incorrectly in withdraw
cbal-eq-sum-bal,v4,1,
cbal-eq-sum-bal,v5,1,
cbal-eq-sum-bal,v6,1,
cbal-eq-sum-bal,v7,1,
bal-sum-dep-wd,v1,1,
bal-sum-dep-wd,v2,1,
bal-sum-dep-wd,v3,0,balance modified incorrectly in withdraw
bal-sum-dep-wd,v4,1,
bal-sum-dep-wd,v5,1,
bal-sum-dep-wd,v6,1,
bal-sum-dep-wd,v7,1,
always-wd-all-one,v1,1,
always-wd-all-one,v2,1,
always-wd-all-one,v3,1,
always-wd-all-one,v4,1,
always-wd-all-one,v5,0,have to withdraw 100 ETH at a time
always-wd-all-one,v6,0,requires two transactions in general: one to wakeup the contract and one to withdraw
always-wd-all-one,v7,0,after 100 blocks it is impossible to withdraw
always-wd-all-many,v1,1,
always-wd-all-many,v2,1,
always-wd-all-many,v3,1,
always-wd-all-many,v4,1,
always-wd-all-many,v5,1,
always-wd-all-many,v7,1,
always-wd-all-many,v6,0,after 100 blocks it is impossible to withdraw
sum-wd-le-sum-dep,v1,1,
sum-wd-le-sum-dep,v2,1,
sum-wd-le-sum-dep,v3,0,users can withdraw more than deposited
sum-wd-le-sum-dep,v4,1,
sum-wd-le-sum-dep,v5,1,
sum-wd-le-sum-dep,v6,1,
sum-wd-le-sum-dep,v7,1,
frontrun-one,v1,1,
frontrun-one,v2,1,
frontrun-one,v3,0,the incorrect balance change can make it impossible for other users to withdraw
frontrun-one,v4,1,
frontrun-one,v5,1,
frontrun-one,v6,0,another user may wake up the contract
frontrun-one,v7,1,
frontrun-many,v1,1,
frontrun-many,v2,1,
frontrun-many,v3,0,the incorrect balance change can make it impossible for other users to withdraw
frontrun-many,v4,1,
frontrun-many,v5,1,
frontrun-many,v6,0,another user may wake up the contract
frontrun-many,v7,1,
